epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.4138942360877991,1.6888138055801392,0.5770901441574097,0.22265665233135223,0.4387555718421936,1.729521632194519,0.5160263180732727,0.3391461968421936
1,0.5082911252975464,1.351041555404663,0.698900043964386,0.3083260655403137,0.5228794813156128,1.2624915838241577,0.7443704605102539,0.3274274468421936
2,0.5418746471405029,1.2756825685501099,0.7143986821174622,0.3469366431236267,0.5618024468421936,1.3110829591751099,0.7009462118148804,0.3927176296710968
3,0.5665560960769653,1.1941719055175781,0.7256491184234619,0.38439518213272095,0.5795201063156128,1.1334879398345947,0.724931001663208,0.4397321343421936
4,0.5832780599594116,1.1577879190444946,0.7363165616989136,0.41703614592552185,0.5777064561843872,1.165339469909668,0.6692713499069214,0.4779575765132904
5,0.5972769856452942,1.1053893566131592,0.7409366369247437,0.4352242946624756,0.607421875,1.0768933296203613,0.7336125373840332,0.4886997640132904
6,0.6233897805213928,1.0173327922821045,0.7572363018989563,0.47673240303993225,0.6674107313156128,0.9633611440658569,0.740515410900116,0.5772879719734192
7,0.661616325378418,0.9215937256813049,0.7755101919174194,0.5359399318695068,0.6869419813156128,0.8492945432662964,0.7801226377487183,0.6033760905265808
8,0.689788818359375,0.8465109467506409,0.792458176612854,0.5839762687683105,0.7321428656578064,0.7585154175758362,0.8029916882514954,0.6590401530265808
9,0.7203001976013184,0.7711905837059021,0.8073398470878601,0.6274393200874329,0.7399553656578064,0.7030499577522278,0.8326203227043152,0.6516461968421936
